"","klasifikasi","score","text"
"133","Negatif",-1,"gerakan relawan jokowi dicurigai  agenda dukung presiden  periode politikus pdip konstitusi membatasi "
"134","Netral",0,"jokowi mania   relawan jokowi   jokowi  periode  "
"135","Netral",0," skenario   dimainkan  oligarki  jokowi  periode pernjangan  jabatan presiden jok "
"136","Netral",0,"   diadan yg  kebijakan   presidenku   p "
"137","Netral",0," dah  riode jokowi ngain aja "
"138","Netral",0," ta giliran ndukung jokowi   riode kadrun autokejang"
"139","Negatif",-1,"  bener  goblok hahahahakalo jokowi  bodoh   rakyat r "
"140","Netral",0," perasaanmu  drun  jokowi sih nyantai uda  riode  presiden yg ngak nyaman  "
"141","Netral",0," lha ngain bar jokowi presiden  riode  fakta  bantah"
"142","Negatif",-1," luh gak ngerti kalo jokowi dah bingung   riode a rnjang milu"
"143","Netral",0,"  lo dijambang lo dimn jokowi  riode  aja lo nggak s "
"144","Negatif",-1," yg takut tuh  klo k jokowi  riodemau bukti"
"145","Netral",0," ayo drun turunkan jokowi     biarkan jokowi  esiden sami  riode semangaatt "
"146","Netral",0,"tebak   manayang bener brrti dukung jokowi  riode "
"147","Negatif",-2,"  k jokowi a susah nya mundur sih habis mundur  melangkah maju  biar ra kadru "
"148","Negatif",-1," gw milih jokowi  riode  ga  lih calon yg dilih jokowi alagi  i"
"149","Negatif",-1,"jokowi berkuasa hamr  riode    gerakan  gerakan  menerus dilancarkan  menumbangkan "
"150","Netral",0,"tujuan kib  membujuk jkw   riode gembongnya rerata harmoko jaman now terbukti k jokowi taat konstit "
"151","Netral",0,"permasalahan   diselesaikan  jokowi  riode "
"152","Netral",0,"presiden jokowi da riode    fokus da ndidikan  ngembangan sdmjokowibangunsdm"
"153","Netral",0,"   periode  jokowi bilang    ta kena menjelang  jabatan   "
"154","Negatif",-1,"  skerdil cr brkirmu badrun bin batak kadrunjkw  rlu dkungan org nyinyir modal kbencian "
"155","Negatif",-1," kena riode  jokowi kyak gt salahkan warga bodoh yg dimainkan  agama ma "
"156","Negatif",-5," buzzer asu edan nik  isu  riode dahal tiademo  jokowi turun dasar gerombolan idiot"
"157","Netral",0,"   rnyataan nolakan presiden jokowi  wacana  riode "
"158","Netral",0,"   rnyataan nolakan presiden jokowi  wacana  riode "
"159","Netral",0,"   rnyataan nolakan presiden jokowi  wacana  riode "
"160","Netral",0,"   rnyataan nolakan presiden jokowi  wacana  riode "
"161","Netral",0,"   rnyataan nolakan presiden jokowi  wacana  riode "
"162","Negatif",-1,"presiden jokowi menolak wacana jabatan presiden   riode "
"163","Negatif",-1,"presiden jokowi menolak wacana jabatan presiden   riode "
"164","Negatif",-1,"presiden jokowi menolak wacana jabatan presiden   riode "
"165","Negatif",-1,"presiden jokowi menolak wacana jabatan presiden   riode "
"166","Negatif",-1,"presiden jokowi menolak wacana jabatan presiden   riode "
"167","Netral",0,"   rtanyaanmu serti  rtanyaanmu    bera t "
"168","Netral",0,"jokowi otw  riode "
"169","Netral",0," yes  jokowi  riode"
"170","Negatif",-1," tetaaja jokowi  esiden  riode  lolemang suara sumbar bera sih"
"171","Positif",2," sumbar dn aceh    riode les tdk mendukung esiden jokowi sumbar dn aceh tdk ngaruh keda "
"172","Netral",0,"menjabat  riode presiden jokowi mantu  kalikira total sumbangan  didat beracc "
"173","Positif",1,"   cebong yg nikta raja cebong n  nik   "
"174","Netral",0,"a  maksain  riodeudh sti  chaos  njuru negeri "
"175","Netral",0," lih jokowi  riode aja bg"
"176","Negatif",-2,"  ti ganti esiden krna jokowi udah  riodejd yg  mksd rubahan n ganti  a nya"
"177","Netral",0,"relawan kecam snduk jokowi  periode    gbk   sekat "
"178","Negatif",-1," tolol curi star  jokowi kumlin relawan   ngain emang   riodetolol"
"179","Positif",2," lho demokrasi  sah sah   ndat  ndat ngawurmu ituya "
"180","Netral",0,"  rakyat indonesia  sehat akal  budinya menganggak jokowi layak   jadikan esi "
"181","Negatif",-3," gebukin   tau mundur  manusia beradab  digebukin  mundur  c "
"182","Netral",0," cebong  mnyebar diseluruh indonesia ygmemilih jokowi  "
"183","Netral",0,"  isue  riode  k jokowi tetanya ngaruh sami ujung  jabatannya ilmu mu k "
"184","Netral",0," terserah  tu jd firasat a kode alamtyg ti jokowi sdh  riodekadrun  st "
"185","Netral",0," pernjangan  jabatan     riode inkonstitusionalpemakzulanimachment jokowi  "
"186","Negatif",-1," gak  esiden  riode  ogah  sidang mpr  udah  dr  anggota dpr mpr jd ga "
"187","Netral",0," jokowi  periode"
"188","Negatif",-1," drun ente ga rlu sibuk urusin utang negara biarkan  jokowi  tim nya yg urus biarkan jokowi  riode"
"189","Negatif",-1,"presiden jokowi menolak wacana  jabatan  periode "
"190","Netral",0," baiknya bak jokowi  riode  kadrun  kelojotaneeengga  ding uu nya "
"191","Netral",0,"    presiden  calon itun kalo  tweet serti  yg  ndukung jok "
"192","Negatif",-1," snduk  periode  acara gbk sukarelawan jokowi kasih peringatan  emosional "
"193","Negatif",-2," ketakutan a ya jokowi rna tugas riode  a yg beliau takutkan "
"194","Netral",0," lu  jokowi mundursaya  jokowi  riode "
"195","Negatif",-2," takut aan joman  mendukung ga  kecurigaan  jokowicuma congoran lu doang  bacotin "
"196","Positif",1,"   tdk  dikabulkan  jokowi gitu loh berkuasa nuh  indonesia  jam sehari seta "
"197","Netral",0,"  kebalik  lanyalla  gk ngajak org dukung jokowi  riode kecuali  bis "
"198","Positif",1," trs kena  takut  jokowi maju  riode  rtanyaanya drun"
"199","Netral",0,"setuju tolak jokowi  periode  pemilu dipercepatperiodeanarkisdemokrasiperiodeanarkisdemokrasi "
"200","Positif",1,"rakyat bersatu menolak keras jokowi  periode  bikin negara  hancurrakyat  pemilu dipercepat "
"201","Netral",0,"  lihan  rakyat tolak jokowi  periode  pemilu dipercepatperiodeanarkisdemokrasi "
"202","Negatif",-1,"kalo   rakyat dicekoki berita lsu diduga selsu identitas  ijazahnya negara  hancurtak a "
"203","Positif",2,"   rakyat indonesia     memilih esidenyaitu memilih bak jokowi  "
"204","Negatif",-2,"ketua relawan jokowi mania joman immanuel ebenezer alias noel menilai isu  menyerukan presiden jokowi  ri "
"205","Netral",0," jokowi  periode"
"206","Positif",1,"  jokowi udah menang berkali drun kadrunmenang jd walikota solo  riode menan "
"207","Netral",0,"rakyat  pemilu dipercepat  jokowi  periode periodeanarkisdemokrasi periodeanarkisdemokrasi "
"208","Netral",0,"rakyat  pemilu dipercepattolak keras jokowi  periode periodeanarkisdemokrasi "
"209","Negatif",-1," yg nikmati jokowi  riode  ong  kenyang udah siaan nerusnya gubernur bokesebagai esiden boneka"
"210","Negatif",-3," bajingan  pengkhianat manusia njilat  munafik berkuml  era jokowi berkuasaharus percepat pemi "
"211","Negatif",-1," bajingan  berkuml dijaman jokowi berkuasarakyat  pemilu dircet tolak keras jokowi  peri "
"212","Positif",1,"  jokowi kalah telak piles  periodepdip  minim kursi mukai  dprd ting "
"213","Negatif",-1,"hancurkan oligarki cina sumber bencana indonesiaperiodeanarkisdemokrasiperiodeanarkisdemokrasitolak keras j "
"214","Positif",2," yg demokrasi  serti a kkn tumbuh subur    jabatan memobilisasi  manut jokowi "
"215","Negatif",-1,"  klo  yg bilang  masyarakat indonesia  k jokowi   ato  riode  gim "
"216","Negatif",-2,"masyaallah  norma ternggirkan akibat nafsu serakah  berkuasatolak keras jokowi  periode  "
"217","Negatif",-1,"kalo  mam berestasi  ijazah serba palsu   pengkhianat bangsa  negaratolak jokowi  "
"218","Netral",0," imam m "
"219","Netral",0,"macé torang setuju sekat  riode utk kdhe samikan salam utk pacé "
"220","Positif",1,"bencana alam silih berganti tamknya gsemerutidak tahan meluaan amarahnya tanda  pemimn zalim ngkhian "
"221","Netral",0,"jokowi   mengumlkan manusia brengsek estasi  hatinyamanusia   ntar disingkirkanakibatn "
"222","Netral",0," terserah kau kadrun kuet  lih   yg sti k jokowi   skrg  menjala "
"223","Negatif",-1," dijaman jokowi pejabat kelakuan brengsek msh   menjabatmasih  jokowi  periodeperiode ha "
"224","Positif",1," makmur dijaman jokowi   oligarki pejabat koruam neo pki     juta rakyat menderi "
"225","Netral",0," udah   riode  cuku  nih kayak takut   jokowi udah gak menjabat kayak "
"226","Negatif",-1,"indonesia  terruk dimn  pemimn serba palsu  pengkhianat bangsa  negaratolak jokowi  perio "
"227","Netral",0,"  asrasi  riode rjuangkan "
"228","Positif",1,"  amanah  allah swt  rakyat   emban "
"229","Netral",0," jokowi   riode"
"230","Negatif",-2,"sia   indonesia dimn jokowi  periode negara hancur utang segunung anak bangsa tercah belah "
"231","Netral",0," rakyat  waras otaknya  jokowi   riodejokowi esiden yg  cintai rakyat"
"232","Netral",0," jokowi  riode"
"233","Netral",0," tetaimigran kanjokowi  mantan walikota solo  riode gubernur d "
"234","Netral",0,"   element rakyat  jokowi   riode"
"235","Netral",0," klo ngedit yg kreatif lahh  tgl  foto nya berbedaitu jaman jokowi riode rtama msh men "
"236","Netral",0," jokowi  riode"
"237","Negatif",-1," gw  kadroen tolol gw ndukung jokowi  riode"
"238","Negatif",-1,"  hasrat  riode   membahayakan bangsa "
"239","Negatif",-1," hahahahaha cari info  yg bener heru  jabat karir  pemda dki  bawa "
"240","Netral",0," mna bukti nya  nunjukn gk klo  yg   riode klo yg  relawan nya wa "
"241","Netral",0," jokowi  riode"
"242","Negatif",-2,"teriakan jokowi  periode ketua jokowi mania menilai  etis bangsa  carut marut "
"243","Negatif",-1," cm masyarakat yg  p jokowi  riode"
"244","Negatif",-1,"pengaruh k jokowi dlm raihan suara   bera  suara pdip da  terlih esiden  riode  "
"245","Netral",0,"warga negeri a ndukung si nganu ketar ketir  jokowi  gandeng gp  takut sakit hati yg r "
"246","Netral",0,"  deh ngga   kerja s   kebayang ngga   bene "
"247","Netral",0,"pernikahan kaesang  rnikahan ketiga  digelar  presiden jokowi  hamr sembilan  menjaba "
"248","Negatif",-2,"   andi widjajanto  sekretaris kabinet  kambing hitam   hubungan dingin jokowi  "
"249","Negatif",-1," ndukung jokowi n  mencari kenyamanankenyamanan  meleskan esiden  riode isu rnjan "
"250","Netral",0,"  riode "
"251","Negatif",-4," klean ga cak ya  riode tereak gn jatuhin jokowi ta gagal mulu masyarakat "
"252","Positif",1," s berimbang gw lbh setuju diadakan referendum lihannya jokowi turun     riode "
"253","Netral",0,"  jokowi yg lu jelekin  udah  gub jateng gub dki  jd esiden  "
"254","Negatif",-1,"jokowi   nya darah biru  mimn rtai   litikus kondang   presiden  in "
"255","Netral",0," benergaji kagak    harga naikjak ud mencekek kayak drakula smua rah men "
"256","Netral",0,"   fans prabowo     "
"257","Netral",0," jgn ambil sing langsung lih prabowo aja  les  jgn lih yg    sdh  "
"258","Netral",0,"  kemimnan jokowi riode    kentingan jk yg terusik"
"259","Netral",0,"ketua relawan jokowi mania joman  relawan jokowi terbelah bebera faksi   cari uang dukung jokowi "
"260","Netral",0," jokowi  periode"
"261","Negatif",-1," gak ngaruh drun suara loe buktinya jokowi tetamenang  riode"
"262","Netral",0,"  yg  jokowi  riode  aja  makar tu "
"263","Negatif",-1," emang  wktu jokowi mo  riode ga  bu jan  liat skrg  negeri udh ancur an    an "
"264","Netral",0," bener om ta  surya loh  yg mendukung jokowi  riode"
"265","Negatif",-2," aneh ya kena maksa jokowi mundur  jabatantbegitu  relawan yg  jokowi   "
"266","Netral",0," pencaian jokowi  riodemenikahkan  anaknya  mnjdikan anak  mantunya  walikotasalute"
"267","Negatif",-1,"informasi  rubahan konstitusi tetang nambahan periode     riode jabatan presiden  men "
"268","Netral",0," lingkaran luhut yg kaya raya   riode  esiden  kenyang mrk siaan ganjar nerus jokowi"
"269","Negatif",-2," suruh  riode biar beban  den diselesaikan jokowi ga  kasih yg laindengar jokoi  riode "
"270","Positif",1," jokowi gentle dak   malumaju trus an   terselesaikanpresiden terbaik  r "
"271","Netral",0," kadal buluk kadang suka bener dikit otaknya utang soeharto  si kebo mangkrak diakumulasik "
"272","Negatif",-3,"  jokowi suruh mundur kmnamundur kebelakang rumah sabarsabar sti k jokowi mundur  "
"273","Positif",1," jk   oligarki belio hrs selamat  keluarga am hartabendanya  j "
"274","Netral",0,"   o jokowi abila uu konstitusi mengizinkan   jokowi   riode setuju gk "
"275","Netral",0," ntar  jan ethes  presiden jokowi  riode dilanjutkan ama kaesang  periode diteruskan a "
"276","Netral",0," goblok   riode a elu gak mikir wkwkwk"
"277","Positif",1," pendukung nya sti bilang jokowi hebaaaatbayangin klo  menjabat  riode laut dn langit   jual  aseng"
"278","Netral",0,"  bekal   analisis terhadaosk rekonomian indonesia  den    a "
"279","Netral",0,"memarkan teori maun emris rekonomian indonesia  era jokowi   selayang ndang  riode  "
"280","Positif",1,"catatan frans seda rnah menjabat menteri keuangan periode   frans seda  saj "
"281","Negatif",-2,"berita  mengejutkan  orang  hebatnya presiden  bak ir h joko widodo  memrhatikan raky "
"282","Negatif",-1," yah gimana ya bro jokowi  jabat x riode      jabatannya waja "
"283","Netral",0,"   lintas kabuten  teruskan rjuangan sam kelar riode "
"284","Positif",2," gausa sokan black camign anies ntar gw counter sma janji  realisasi "
"285","Netral",0," a bedanya ngana dgn cebong ndukung jokowi yg   dat  riode"
"286","Positif",1," kadrun bego halu keterusan ga  terima kenyataan jokowi  menang  "
"287","Negatif",-1," ong cs  momen tanam budi  omosi ganjar nerus jokowi  kenyang  riode ya ng nambah nih "
"288","Negatif",-3," setiahari orang gila suruh esiden mundur ta nggak rnah berhasil  berharak jokowi  riode "
"289","Netral",0,"  mayoritas rakyat  k jokowi  riode  "
"290","Negatif",-3," gw main jokowi  riode  ga woiiiii  ga  woiiiii"
"291","Netral",0," kuat sinyal  riode "
"292","Negatif",-3,"   dendam  barisan orang  kelomk yg kecewa  sakit hati yg berkenjangan  joko "
"293","Positif",1,"rocky gerung megawati takkan kabulkan kemauan jokowi usung ganjar ataun periode "
"294","Positif",1," gambar koleksi hp mu  dg ra ahli "
"295","Negatif",-3," ya ngeri  kalo  orang yg ngakuny "
"296","Negatif",-1," lu  munafik  lu bilang  "
"297","Netral",0," kalo   acara litik  joko "
"298","Netral",0,"  warga negara indonesia  lintas benua  jokowi tujuh riodea loea loe"
"299","Negatif",-1," kalo  jokowi  riode   gerombolan kadal buntung  langsung kelojotan dijamin stro "
"300","Netral",0," indonesia dasarnya ncasilasilanya  limademokrasi negaranyaayo jokowi  riode"
"301","Netral",0," indonesia menaraan four year plan  diakhir four year plan jokowi   riode"
"302","Netral",0," ok   gak tau  inform "
"303","Negatif",-2," menolak kedatangan anies kau labeli cebong bs   ndukung prabowo  diaceh suara joko "
"304","Positif",1," gak komenttolong tanyain aja  jokowi esemka a kabar yg  janji kamnyenya udah  ri "
"305","Negatif",-1," orang    berkuasa  riode   s "
"306","Negatif",-1," yg mendukung  riode  dasar kirnya  a yg sdh   presiden jokowi t "
"307","Netral",0," kadrun kejangstresdeesi  mudahcukugaungkan   jokowi  periode "
"308","Netral",0,"ambil hikmahnya  mantapak jokowimainkan  riode "
"309","Positif",1," ta tolong  jgn niat suci bak tsb belok krn kentingan  yg dtg menikungdan sudahi dgn "
"310","Netral",0,"  jokowi  sukarela sbg esiden  riode  "
"311","Netral",0," jokowi memikirkan  riode  "
"312","Netral",0,"  rcaya  ta  ndukung jokowi   riode kadrun udah ngamuk"
"313","Negatif",-1," membaca antusiasnya masyarakat menyambut kehadiran anies   calon esi "
"314","Positif",2,"tebak bera  nama daerah  ntt  disebutkanbener bersyukur jokowi menang   riode inintt da "
"315","Negatif",-1," lanyalla silahkan jokowi  periode "
"316","Netral",0," warisan utang sby bera utangan yg riode esiden beramana   yg  "
"317","Netral",0," embok setuju k dhe  riode kalo  sih yes"
"318","Positif",2," bangga gw nya esiden jokowi beliau  riode indonesia   maju ngalahin malaysiathailand"
"319","Negatif",-1," ga  kagetan gitumimn yg bersahaja gitu ko   rakyat kecillove you k jokow "
"320","Netral",0," biar  hemat jokowi  periodelanjut  periode "
"321","Negatif",-1," silahkan jokowi  periode tolakriode "
"322","Negatif",-2,"gila    dengar orang  gawat ta     tahupresiden jokowi matian biar dunia begi "
"323","Netral",0,"  da les lesan   k jokowi  periode"
"324","Netral",0," lu dendam  ama jokowi  meritahan sah  riode wkwkwkwkw"
"325","Negatif",-1,"  jokowi  riode ngain aja  mbangunan merata  i "
"326","Negatif",-2," elu sam ngkat mayor nggak cuku riode  merintahan  tuh orang ud "
"327","Netral",0," jokowi   riode bong"
"328","Netral",0," si bak aloysius kena ank wacana jok "
"329","Netral",0," riode jokowi   kerja kerja kerja tan otakkejadian imr  berulang  disisi  jkw b "
"330","Negatif",-2,"  kasih  tuh junjungan elu   ditinggalin beban k jokowi suruh aja k jokowi "
"331","Negatif",-1," klo k jokowi langsung ditetaan  jdi esiden utk  riode keden gimana setuju ga "
"332","Netral",0," nggak masuk gorong  k sia tau   riode"
"333","Negatif",-3,"  knngebet gantiin k jokowi  beban  den berat kena ga  k jokowi  r "
"334","Positif",1,"kebodohan  dimerin dum kebebasan berbicara  berkuml  dijamin  konstitusi jd a yg  "
"335","Netral",0,"jokowi  riode "
"336","Netral",0," pendukung jokowi  menolak  riode   menghenda "
"337","Netral",0," mudahan undang ngangkatan langsung  riode  dibuatta undangnya berlaku   "
